operand,opcode,funct3,funct7,format
slli,0010011,001,0000000,R
srli,0010011,101,0000000,R
srai,0010011,101,0100000,R
add,0110011,000,0000000,R
sub,0110011,000,0100000,R
sll,0110011,001,0000000,R
slt,0110011,010,0000000,R
sltu,0110011,011,0000000,R
xor,0110011,100,0000000,R
srl,0110011,101,0000000,R
sra,0110011,101,0100000,R
or,0110011,110,0000000,R
and,0110011,111,0000000,R
slliw,0011011,001,0000000,R
srliw,0011011,101,0000000,R
sraiw,0011011,101,0100000,R
addw,0111011,000,0000000,R
subw,0111011,000,0100000,R
sllw,0111011,001,0000000,R
srlw,0111011,101,0000000,R
sraw,0111011,101,0100000,R
mul,0110011,000,0000001,R
mulh,0110011,001,0000001,R
mulhsu,0110011,010,0000001,R
mulhu,0110011,011,0000001,R
div,0110011,100,0000001,R
divu,0110011,101,0000001,R
rem,0110011,110,0000001,R
remu,0110011,111,0000001,R
mulw,0111011,000,0000001,R
divw,0111011,100,0000001,R
divuw,0111011,101,0000001,R
remw,0111011,110,0000001,R
remuw,0111011,111,0000001,R
jalr,1100111,000,,I
lb,0000011,000,,I
lh,0000011,001,,I
lw,0000011,010,,I
lbu,0000011,100,,I
lhu,0000011,101,,I
addi,0010011,000,,I
slti,0010011,010,,I
sltiu,0010011,011,,I
xori,0010011,100,,I
ori,0010011,110,,I
andi,0010011,111,,I
lwu,0000011,110,,I
ld,0000011,011,,I
addiw,0011011,000,,I
sb,0100011,000,,S
sh,0100011,001,,S
sw,0100011,010,,S
sd,0100011,011,,S
beq,1100011,000,,B
bne,1100011,001,,B
blt,1100011,100,,B
bge,1100011,101,,B
bltu,1100011,110,,B
bgeu,1100011,111,,B
lui,0110111,,,U
auipc,0010111,,,U
jal,1101111,,,J
